max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column
58,46,70,12,0.32819114564418994,5.175220741676202,-2.3891277740237964,-4.088269054708357,GLUGLU_log_sample1
59,47,71,12,0.32171018994330325,4.945949250008605,-2.397296226055824,-3.9890952183229373,GLUGLU_log_sample2
79,63,95,16,0.2508727534074537,7.018762946601327,-2.410414863710547,-4.171935858036365,GALGAL_log_sample1
82,66,98,16,0.2471467049119003,7.141290796937099,-2.40842209200534,-4.174074842386175,GALGAL_log_sample2
83,68,98,15,0.2674436236052926,8.677686110749141,-2.4380509759851,-4.759771482155637,RAFRAF_log_sample1
83,68,98,15,0.2716706510278555,8.422479618389481,-2.429960047319143,-4.719016190973319,RAFRAF_log_sample2
129,114,144,15,0.2657188651557527,15.996179249776688,-2.387297415144271,-6.63948488721176,GLUGAL_log_sample1
131,115,147,16,0.23772588373399928,15.500750909406179,-2.3879616215734654,-6.074365891760717,GLUGAL_log_sample2
146,131,161,15,0.25750954563577544,18.250928162034825,-2.3820562118737354,-7.083725097864898,GLURAF_log_sample1
144,127,161,17,0.23072238764933428,17.38339240668907,-2.4035538685743276,-6.415896607186382,GLURAF_log_sample2
89,74,104,15,0.25803115296483964,8.691447152573582,-2.3915106582238566,-4.635072212557124,RAFGAL_log_sample1
98,82,114,16,0.25202006403712596,9.790689359269841,-2.420435413434332,-4.888872947738847,RAFGAL_log_sample2
61,49,73,12,0.34361062262409847,5.259601730860053,-2.41568032828216,-4.223658545064482,GALGLU_log_sample1
61,49,73,12,0.3421045410037639,5.519257573091336,-2.4348679563871487,-4.323786602569581,GALGLU_log_sample2
60,49,71,11,0.34325539212829304,4.842411694554163,-2.428972093850875,-4.091821158537571,RAFGLU_log_sample1
63,52,74,11,0.34640772676308984,5.741365665726186,-2.3886047896787557,-4.378254078174016,RAFGLU_log_sample2
99,84,114,15,0.2629406004563582,10.699535129549494,-2.4105741905189646,-5.225042169278111,GALRAF_log_sample1
105,90,120,15,0.25981114152816476,11.260389952779532,-2.4227072822811793,-5.349452748151455,GALRAF_log_sample2
